"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","mitotic sister chromatid segregation","GO:0000070","1.100788202841666e-35","34.95829623342199","193","988","72","16307","RAD21,NCAPD2,NCAPD3,KIF11,ZWINT,NCAPH,CDC20,PLK1,ANAPC5,TPX2,NCAPG,NUSAP1,CCNB1,KIF14,KIF2C,KIF4A,PTTG1,NDC80,KIFC1,MAD2L1,AURKB,CDT1,CENPE,DLGAP5,SMC2,SEH1L,BUB1,BIRC5,TPR,SPC24,HNRNPU,SMC1A,ESPL1,NUF2,KNTC1,SMC3,MISP,CENPF,KIF22,CDCA5,TTK,KIF18B,DSCC1,INCENP,RAN,NCAPG2,KIF23,EML4,ZW10,KMT5A,SPAG5,PSRC1,SMC4,BUB1B,RACGAP1,NUP62,FBXO5,ATRX,AAAS,KPNB1,CDCA8,LSM14A,MZT1,STAG2,CEP192,KIF18A,PDS5A,ATM,SGO2,BOD1,STAG1,ANAPC7"
"GO:BP","cytoplasmic translation","GO:0002181","1.9731738235570002e-32","31.704834654592503","156","988","62","16307","RPS3,SH3BGRL,RPL7,RPS9,RPL5,RPL32,RPS29,RPL29,RPL41,DENR,RACK1,RPL13A,HNRNPU,RPL36,RPL3,RPL15,RPL10A,RPS18,RPL4,RPS21,RPS25,RPL35A,HNRNPD,RPSA,RPL18,RPL31,RPS14,RPL6,RPS7,RPL10,RPL39,RPL18A,RPS2,RPL13,RPS5,DHX9,RPS6,RPL9,RPL34,RPS11,RPS8,RPS15,RPL14,EIF4B,RPL21,RPS4X,RPS24,SYNCRIP,EIF3E,RPL27,RPS28,EIF3D,RPL23,RPS12,RPS27,EIF3A,RPL24,RPL8,RPL11,YBX1,RPS3A,DPH2"
"GO:BP","rRNA processing","GO:0006364","6.231598442448316e-22","21.205400539906677","177","988","54","16307","FBL,BOP1,RPL7,RPL5,DKC1,NOLC1,NOP58,RPL7L1,RPL10A,DDX10,RPS21,NHP2,RPS25,RPL35A,NOP56,GEMIN4,LAS1L,RPS14,RPS7,DDX54,MRTO4,POP5,RPS6,DHX37,RPS8,RSL1D1,RPS15,EXOSC2,RPL14,MTREX,PES1,RPS24,WDR75,TSR1,RPL27,RPS28,HEATR1,DDX18,NOL11,RPS27,KRI1,EIF6,WDR74,UTP20,RPP40,RPL11,WDR43,DIMT1,RPUSD4,EXOSC8,WDR3,RRP9,WDR12,UTP4"
"GO:BP","regulation of chromosome segregation","GO:0051983","2.8365161660681826e-20","19.54721473693122","115","988","42","16307","ZWINT,UBE2C,CDC20,PLK1,ANAPC5,CCNB1,KIF2C,PTTG1,NDC80,MAD2L1,MKI67,AURKB,CDT1,CENPE,DLGAP5,BUB1,RCC2,BIRC5,TPR,SPC24,HNRNPU,ESPL1,NUF2,KNTC1,CDCA2,CENPF,TACC3,TTK,INCENP,SMC6,ZW10,SMARCC1,SMARCC2,BUB1B,ANAPC1,SMARCB1,FBXO5,CDCA8,CSNK2A1,ATM,ANAPC7,ACTL6A"
"GO:BP","DNA-templated DNA replication","GO:0006261","5.845204199723348e-20","19.23320031234406","147","988","47","16307","HMGA1,BRCA1,POLA1,CDC45,MCM5,CDT1,BLM,PARP1,MCM10,FEN1,TICRR,MCM4,GINS2,RFC5,NUCKS1,POLD1,CENPX,MCM3,DSCC1,MCM7,PCNA,MCM2,CDK2AP1,RFC3,MCM6,DDX11,CHTF18,DNA2,CARM1,POLD3,ORC1,RECQL4,FBXO5,ATRX,ZPR1,E2F8,RFC4,GINS4,POLE3,THOC1,MGME1,NBN,PRIM1,LIG1,TONSL,RPA1,POLE"
"GO:BP","microtubule cytoskeleton organization involved in mitosis","GO:1902850","2.6796087792332017e-19","18.57192860799458","152","988","47","16307","RCC1,STMN1,KIF11,PLK1,TPX2,SAPCD2,NUSAP1,CCNB1,KIF4A,NDC80,KIFC1,MAD2L1,AURKB,CENPE,DLGAP5,BIRC5,TPR,HNRNPU,SMC1A,AURKA,ESPL1,NUF2,STIL,FSD1,INTS13,CENPA,SMC3,MISP,TACC3,TTK,INCENP,RAN,KIF23,ZW10,PSRC1,WDR62,GPSM2,RACGAP1,NUP62,AAAS,KPNB1,CDCA8,LSM14A,MZT1,STAG2,CEP192,STAG1"
"GO:BP","regulation of mitotic nuclear division","GO:0007088","6.026365298739287e-19","18.219944546340344","106","988","39","16307","RCC1,ZWINT,CDC20,PLK1,ANAPC5,NUSAP1,CCNB1,NDC80,MAD2L1,MKI67,AURKB,CDT1,DLGAP5,BUB1,FBXO43,KIF20B,BIRC5,TPR,SPC24,AURKA,ESPL1,NUF2,NEK2,KNTC1,CHEK1,CDCA2,CENPF,TTK,INCENP,ZW10,BUB1B,PHIP,NUP62,FBXO5,CDCA8,ATM,PKMYT1,ANAPC7,PRMT5"
"GO:BP","ribonucleoprotein complex assembly","GO:0022618","2.4760399350381082e-18","17.606242355036887","194","988","52","16307","CELF2,BOP1,GEMIN5,CLNS1A,RPL5,SCAF11,RUVBL1,HSP90AB1,DENR,RPL13A,NLE1,SNRPD2,GEMIN4,RPSA,RPS14,RPL6,RPL10,TAF9,RPS5,DHX9,NUDT21,XRCC5,SNRNP200,PRPF19,RPS15,EIF4B,SF3B5,PHF5A,SNRPF,SF3A3,PSIP1,EIF3E,SRSF1,SRSF9,RPS28,EIF3D,HSP90AA1,PRPF8,LSM2,RUVBL2,RPS27,EIF3A,PTGES3,ATM,EIF6,USP39,SRPK1,RPL11,SNRPB,SRSF6,SNRPE,PRMT5"
"GO:BP","mitotic spindle organization","GO:0007052","7.461115950504738e-18","17.127196210744472","125","988","41","16307","RCC1,STMN1,KIF11,PLK1,TPX2,CCNB1,KIF4A,NDC80,KIFC1,AURKB,CENPE,DLGAP5,BIRC5,TPR,HNRNPU,SMC1A,AURKA,NUF2,STIL,FSD1,INTS13,SMC3,MISP,TACC3,TTK,INCENP,RAN,KIF23,PSRC1,WDR62,GPSM2,RACGAP1,NUP62,AAAS,KPNB1,CDCA8,LSM14A,MZT1,STAG2,CEP192,STAG1"
"GO:BP","regulation of nuclear division","GO:0051783","7.553995606273252e-18","17.121823272112657","119","988","40","16307","RCC1,ZWINT,CDC20,PLK1,ANAPC5,NUSAP1,CCNB1,NDC80,MAD2L1,MKI67,AURKB,CDT1,DLGAP5,BUB1,FBXO43,KIF20B,BIRC5,TPR,SPC24,AURKA,ESPL1,NUF2,NEK2,KNTC1,CHEK1,CDCA2,CENPF,TTK,INCENP,ZW10,BUB1B,PHIP,RAD51AP1,NUP62,FBXO5,CDCA8,ATM,PKMYT1,ANAPC7,PRMT5"
